,iGTP100(tau=20),iGTP100(tau=100),iGTP100(tau=500),iGTP∞(tau=20),iGTP∞(tau=100),iGTP∞(tau=500)
BC,11000,2120,825,15900,3310,752
HFC32,14000,2700,1050,20100,4190,952
CH4,499,96.5,37.6,733,153,34.7
HFC134a,27200,5270,2050,40200,8370,1900
CFC11,106000,20500,7980,193000,40200,9130
N2O,4550,880,343,12100,2520,572
PFC14,120000,23200,9010,98300000,20500000,4650000
CO2,16.5,3.19,1.24,,,
