,iGTP100(tau=20),iGTP100(tau=100),iGTP100(tau=500),iGTP∞(tau=20),iGTP∞(tau=100),iGTP∞(tau=500)
BC,10900,2210,895,15500,4070,894
HFC32,13900,2810,1140,19600,5150,1130
CH4,498,101,40.8,716,188,41.3
HFC134a,27200,5490,2220,39200,10300,2260
CFC11,106000,21400,8660,188000,49400,10900
N2O,4540,918,372,11800,3090,680
PFC14,119000,24100,9770,96000000,25200000,5530000
CO2,16.4,3.32,1.34,,,
