,iGTP100(tau=20),iGTP100(tau=100),iGTP100(tau=500),iGTP∞(tau=20),iGTP∞(tau=100),iGTP∞(tau=500)
BC,3640,665,665,5270,1090,298
HFC32,4630,847,847,6670,1370,377
CH4,166,30.3,30.3,243,50.1,13.8
HFC134a,9040,1650,1650,13300,2740,753
CFC11,35200,6440,6440,64000,13200,3620
N2O,1510,276,276,4010,825,227
PFC14,39700,7270,7270,32600000,6710000,1840000
CO2,5.46,1,1,,,
